RMSD=956.774991998665, candidate=1
RMSD=967.3279308545449, candidate=31
RMSD=971.8029909943559, candidate=2
RMSD=971.8893654565876, candidate=129
RMSD=973.762229779108, candidate=263
RMSD=974.2401022284333, candidate=107
RMSD=974.3131656564784, candidate=287
RMSD=975.3840113849496, candidate=210
RMSD=976.3801818965227, candidate=272
RMSD=977.1112228144776, candidate=82
RMSD=977.2161955679344, candidate=40
RMSD=978.3697483622291, candidate=19
RMSD=978.8441039034147, candidate=98
RMSD=979.2490962633972, candidate=126
RMSD=979.9501528967008, candidate=137
RMSD=980.9771973339087, candidate=5
RMSD=981.0614219447581, candidate=228
RMSD=981.6826965056559, candidate=3
RMSD=981.805567525814, candidate=247
RMSD=982.2365687147935, candidate=162
RMSD=982.4932750960063, candidate=281
RMSD=983.0734035299979, candidate=8
RMSD=983.1919799107691, candidate=100
RMSD=983.4059021266851, candidate=165
RMSD=983.6875658278987, candidate=194
RMSD=984.0744060172692, candidate=23
RMSD=984.1647301664666, candidate=6
RMSD=984.2761753201171, candidate=62
RMSD=984.4585453558418, candidate=171
RMSD=984.5022631625977, candidate=159
RMSD=984.7009420853215, candidate=264
RMSD=986.1598553501345, candidate=9
RMSD=986.7637352124033, candidate=257
RMSD=988.1087676379235, candidate=14
RMSD=988.4066523053353, candidate=18
RMSD=988.4665333578265, candidate=103
RMSD=988.4996872028419, candidate=13
RMSD=988.7262307945545, candidate=118
RMSD=988.7729081477559, candidate=34
RMSD=988.9330986108259, candidate=87
RMSD=988.9477193646366, candidate=169
RMSD=989.0698050915931, candidate=155
RMSD=989.4392301804701, candidate=37
RMSD=989.7206425919546, candidate=64
RMSD=989.8824784604088, candidate=254
RMSD=990.0985730101805, candidate=130
RMSD=990.4108382941586, candidate=262
RMSD=990.4784618391008, candidate=267
RMSD=991.0370487019834, candidate=22
RMSD=991.5106765042567, candidate=300
RMSD=991.7292135439708, candidate=104
RMSD=992.0285621509554, candidate=53
RMSD=992.1027522475033, candidate=4
RMSD=992.13687630673, candidate=292
RMSD=992.1407789662535, candidate=33
RMSD=992.3811262930756, candidate=135
RMSD=992.4818849288642, candidate=72
RMSD=992.5246661218648, candidate=27
RMSD=992.5463432223296, candidate=224
RMSD=992.9856981049114, candidate=158
RMSD=993.0484956089826, candidate=204
RMSD=993.3272389105289, candidate=44
RMSD=993.3934341469079, candidate=116
RMSD=993.8355859273565, candidate=11
RMSD=993.8682610684358, candidate=133
RMSD=993.9543603726999, candidate=52
RMSD=994.015053490399, candidate=178
RMSD=994.0331132726346, candidate=65
RMSD=994.1602889961306, candidate=294
RMSD=994.2322103634169, candidate=41
RMSD=994.8817160924377, candidate=185
RMSD=994.8973372187501, candidate=89
RMSD=995.0461296956521, candidate=236
RMSD=995.1972363097427, candidate=15
